pickup_slug,dropoff_slug,vehicle_class_slug,service_type,price,return_price,distance_km,estimated_duration_min,source_label,active
amsterdam,schiphol-airport,executive-ev,airport,69,124,22,30,Amsterdam → Schiphol,true
rotterdam,schiphol-airport,executive-ev,airport,119,214,80,65,Rotterdam → Schiphol,true
den-haag,schiphol-airport,executive-ev,airport,107,193,43,45,Den Haag → Schiphol,true
almere-poort,schiphol-airport,executive-ev,airport,102,184,39,40,Almere Poort → Schiphol,true
almere-stad-centrum,schiphol-airport,executive-ev,airport,104,187,40,40,Almere Stad Centrum → Schiphol,true
almere-haven,schiphol-airport,executive-ev,airport,103,185,40,40,Almere Haven → Schiphol,true
almere-muziekwijk,schiphol-airport,executive-ev,airport,105,189,41,42,Almere Muziekwijk → Schiphol,true
almere-buiten,schiphol-airport,executive-ev,airport,110,198,44,45,Almere Buiten → Schiphol,true
almere-hout,schiphol-airport,executive-ev,airport,113,203,45,46,Almere Hout → Schiphol,true
almere-oostvaarders,schiphol-airport,executive-ev,airport,116,209,47,48,Almere Oostvaarders → Schiphol,true
amsterdam-zuidas,schiphol-airport,executive-ev,airport,50,90,10,20,Amsterdam Zuidas → Schiphol,true
amsterdam-centrum,schiphol-airport,executive-ev,airport,57,103,14,25,Amsterdam Centrum → Schiphol,true
amsterdam-oud-zuid-de-pijp,schiphol-airport,executive-ev,airport,55,99,13,24,Amsterdam Oud-Zuid / De Pijp → Schiphol,true
amsterdam-oost,schiphol-airport,executive-ev,airport,60,108,16,28,Amsterdam Oost → Schiphol,true
amsterdam-zuidoost-bijlmer,schiphol-airport,executive-ev,airport,60,108,16,28,Amsterdam Zuidoost / Bijlmer → Schiphol,true
amsterdam-noord,schiphol-airport,executive-ev,airport,65,117,20,30,Amsterdam Noord → Schiphol,true
leidsche-rijn,schiphol-airport,executive-ev,airport,104,187,40,40,Leidsche Rijn → Schiphol,true
utrecht-centrum,schiphol-airport,executive-ev,airport,110,198,44,44,Utrecht Centrum → Schiphol,true
