service_type,pickup_slug,dropoff_slug,vehicle_class_slug,distance_km,estimated_duration_min,price,return_price,price_per_km,return_multiplier,active,needs_review,source_label,suggested_price,premium_delta,estimated_cost,estimated_margin,estimated_margin_percent,competitor_price_low,competitor_price_high,market_position,psychological_price,confidence_score,pricing_status,review_notes
airport,amsterdam,schiphol-airport,executive-ev,22,30,69,124,3.14,1.80,true,false,Amsterdam → Schiphol,69,17,37.84,31.16,45.2,46,60,Premium,69,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,rotterdam,schiphol-airport,executive-ev,80,65,119,214,1.49,1.80,true,false,Rotterdam → Schiphol,159,-34,87.4,31.6,26.6,135,176,Budget,159,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
airport,den-haag,schiphol-airport,executive-ev,43,45,107,193,2.49,1.80,true,false,Den Haag → Schiphol,104,18,57.46,49.54,46.3,78,102,Premium,105,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-poort,schiphol-airport,executive-ev,39,40,102,184,2.62,1.80,true,false,Almere Poort → Schiphol,95,21,52.18,49.82,48.8,71,93,Premium,95,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-stad-centrum,schiphol-airport,executive-ev,40,40,104,187,2.60,1.80,true,false,Almere Stad Centrum → Schiphol,96,21,52.6,51.4,49.4,73,95,Premium,95,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-haven,schiphol-airport,executive-ev,40,40,103,185,2.58,1.80,true,false,Almere Haven → Schiphol,96,20,52.6,50.4,48.9,73,95,Premium,95,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-muziekwijk,schiphol-airport,executive-ev,41,42,105,189,2.56,1.80,true,false,Almere Muziekwijk → Schiphol,99,20,54.46,50.54,48.1,75,98,Premium,99,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-buiten,schiphol-airport,executive-ev,44,45,110,198,2.50,1.80,true,false,Almere Buiten → Schiphol,105,19,57.88,52.12,47.4,80,105,Premium,105,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-hout,schiphol-airport,executive-ev,45,46,113,203,2.51,1.80,true,false,Almere Hout → Schiphol,107,20,59.02,53.98,47.8,82,107,Premium,105,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,almere-oostvaarders,schiphol-airport,executive-ev,47,48,116,209,2.47,1.80,true,false,Almere Oostvaarders → Schiphol,111,20,61.3,54.7,47.2,84,110,Premium,109,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,amsterdam-zuidas,schiphol-airport,executive-ev,10,20,50,90,5.00,1.80,true,false,Amsterdam Zuidas → Schiphol,47,19,25.6,24.4,48.8,27,36,Luxury,45,90,Approved,Geverifieerd tarief. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-centrum,schiphol-airport,executive-ev,14,25,57,103,4.07,1.81,true,false,Amsterdam Centrum → Schiphol,56,19,30.88,26.12,45.8,33,44,Luxury,55,90,Approved,Geverifieerd tarief. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-oud-zuid-de-pijp,schiphol-airport,executive-ev,13,24,55,99,4.23,1.80,true,false,Amsterdam Oud-Zuid / De Pijp → Schiphol,54,19,29.74,25.26,45.9,32,41,Luxury,55,90,Approved,Geverifieerd tarief. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-oost,schiphol-airport,executive-ev,16,28,60,108,3.75,1.80,true,false,Amsterdam Oost → Schiphol,62,18,33.88,26.12,43.5,37,48,Premium,59,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,amsterdam-zuidoost-bijlmer,schiphol-airport,executive-ev,16,28,60,108,3.75,1.80,true,false,Amsterdam Zuidoost / Bijlmer → Schiphol,62,18,33.88,26.12,43.5,37,48,Premium,59,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,amsterdam-noord,schiphol-airport,executive-ev,20,30,65,117,3.25,1.80,true,false,Amsterdam Noord → Schiphol,67,16,37,28,43.1,43,56,Premium,65,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
