idx,datum,kanaal,bestand,achtergrond,kop
0,2026-08-25,gbp,2026-08-25-00-foto.jpg,schiphol+luchthavens+bagage+chauffeur--transfer-terminal,Terug van vakantie — vaste prijs vanaf Schiphol
1,2026-08-25,instagram,2026-08-25-01-foto.jpg,schiphol+seizoen+service--avond,Vluchtmonitoring
2,2026-08-28,instagram,2026-08-28-02-foto.jpg,vasteprijs+fairfare--dashboard,Waarom er geen taxameter in onze auto's zit
3,2026-08-31,gbp,2026-08-31-03-foto.jpg,zakelijk+memberships+comfort--achterbank,Zakelijk vervoer met maandfactuur
4,2026-09-01,instagram,2026-09-01-04-kaart.jpg,kaart,Het zakelijke seizoen begint
5,2026-09-04,instagram,2026-09-04-05-foto.jpg,vloot+regio--model-y,De auto waarin u zit
6,2026-09-07,gbp,2026-09-07-06-foto.jpg,schiphol+luchthavens+bagage+chauffeur--transfer-terminal,Vanaf Almere naar Schiphol
7,2026-09-08,instagram,2026-09-08-07-foto.jpg,vasteprijs+fairfare--dashboard,Fair Fare Promise
8,2026-09-11,instagram,2026-09-11-08-foto.jpg,schiphol+luchthavens+bagage+chauffeur--transfer-terminal,Wie er achter het stuur zit
9,2026-09-14,gbp,2026-09-14-09-foto.jpg,vloot+regio--model-y,T4XI rijdt ook in Den Haag
10,2026-09-15,instagram,2026-09-15-10-foto.jpg,comfort+nachttarief+247+moment--interieur-nacht,Prinsjesdag
11,2026-09-18,instagram,2026-09-18-11-foto.jpg,vasteprijs+fairfare--dashboard,"Retour: ×1,8"
12,2026-09-21,gbp,2026-09-21-12-kaart.jpg,kaart,Ook om vier uur 's nachts
13,2026-09-22,instagram,2026-09-22-13-foto.jpg,vloot+regio--model-y,Rotterdam
14,2026-09-25,instagram,2026-09-25-14-foto.jpg,schiphol+luchthavens+bagage+chauffeur--transfer-terminal,Hoeveel koffers passen erin?
15,2026-09-28,gbp,2026-09-28-15-foto.jpg,dagtochten--antwerpen,"Dagtochten naar België, Luxemburg en Duitsland"
16,2026-09-29,instagram,2026-09-29-16-foto.jpg,dagtochten--brugge,"Een dag weg, zonder zelf te rijden"
17,2026-10-02,instagram,2026-10-02-17-foto.jpg,comfort+nachttarief+247+moment--interieur-nacht,Stilte is een dienst
18,2026-10-05,gbp,2026-10-05-18-kaart.jpg,kaart,Ook naar Eindhoven en Rotterdam The Hague Airport
19,2026-10-06,instagram,2026-10-06-19-kaart.jpg,kaart,Niet elke vlucht vertrekt vanaf Schiphol
20,2026-10-09,instagram,2026-10-09-20-kaart.jpg,kaart,"Bruiloften, gala's en bedrijfsfeesten"
