idx,datum,kanaal,pijler,kop
0,2026-08-25,gbp,Schiphol,Terug van vakantie — vaste prijs vanaf Schiphol
1,2026-08-25,instagram,Schiphol,Vluchtmonitoring
2,2026-08-28,instagram,Vaste prijs,Waarom er geen taxameter in onze auto's zit
3,2026-08-31,gbp,Zakelijk,Zakelijk vervoer met maandfactuur
4,2026-09-01,instagram,Zakelijk,Het zakelijke seizoen begint
5,2026-09-04,instagram,Vloot,De auto waarin u zit
6,2026-09-07,gbp,Schiphol,Vanaf Almere naar Schiphol
7,2026-09-08,instagram,Fair Fare,Fair Fare Promise
8,2026-09-11,instagram,Chauffeur,Wie er achter het stuur zit
9,2026-09-14,gbp,Regio,T4XI rijdt ook in Den Haag
10,2026-09-15,instagram,Moment,Prinsjesdag
11,2026-09-18,instagram,Vaste prijs,"Retour: ×1,8"
12,2026-09-21,gbp,24/7,Ook om vier uur 's nachts
13,2026-09-22,instagram,Regio,Rotterdam
14,2026-09-25,instagram,Bagage,Hoeveel koffers passen erin?
15,2026-09-28,gbp,Dagtochten,"Dagtochten naar België, Luxemburg en Duitsland"
16,2026-09-29,instagram,Dagtochten,"Een dag weg, zonder zelf te rijden"
17,2026-10-02,instagram,Comfort,Stilte is een dienst
18,2026-10-05,gbp,Luchthavens,Ook naar Eindhoven en Rotterdam The Hague Airport
19,2026-10-06,instagram,Luchthavens,Niet elke vlucht vertrekt vanaf Schiphol
20,2026-10-09,instagram,Evenementen,"Bruiloften, gala's en bedrijfsfeesten"
21,2026-10-12,gbp,Seizoen,Herfstvakantie: op tijd naar Schiphol
22,2026-10-13,instagram,Seizoen,Met het gezin naar Schiphol
23,2026-10-16,instagram,Nachttarief,Wat een vroege vlucht echt kost
24,2026-10-19,gbp,Moment,"Amsterdam Dance Event: vaste prijs, ook 's nachts"
25,2026-10-20,instagram,Moment,"Wat u vooraf ziet, betaalt u"
26,2026-10-23,instagram,Moment,Veilig thuis na ADE
27,2026-10-25,gbp,Service,De klok gaat een uur terug
28,2026-10-26,gbp,Station,Ophalen bij het station
29,2026-10-27,instagram,Station,Vanaf het station verder
30,2026-10-30,instagram,Memberships,Voor wie vaker rijdt
31,2026-11-02,gbp,Zakelijk,Q4: vervoer geregeld voor het laatste kwartaal
32,2026-11-03,instagram,Zakelijk,Vanaf tien ritten per maand
33,2026-11-06,instagram,Zakelijk,"Dezelfde chauffeur, elke keer"
34,2026-11-09,gbp,Seizoen,"Regen, spits en toch op tijd"
35,2026-11-10,instagram,Vaste prijs,De file zit niet in uw prijs
36,2026-11-13,instagram,Moment,Sinterklaas komt aan
37,2026-11-16,gbp,Evenementen,Kerstborrel? Regel het vervoer nu
38,2026-11-17,instagram,Evenementen,Uw kerstborrel is al over vijf weken
39,2026-11-20,instagram,Evenementen,Hoe een offerte bij ons werkt
40,2026-11-23,gbp,Seizoen,December loopt vol
41,2026-11-24,instagram,Fair Fare,Wij doen niet mee aan Black Friday
42,2026-11-27,instagram,Vaste prijs,"Vooraf compleet, achteraf onveranderd"
43,2026-11-30,gbp,Seizoen,Decemberdrukte: boek vooruit
44,2026-12-01,instagram,Seizoen,Vijf momenten waarop u ons deze maand nodig heeft
45,2026-12-04,instagram,Moment,Pakjesavond valt dit jaar op zaterdag
46,2026-12-07,gbp,Evenementen,Vervoer voor uw kerstborrel
47,2026-12-08,instagram,Evenementen,Niemand hoeft Bob te zijn
48,2026-12-11,instagram,Nachttarief,Hoe ons nachttarief werkt
49,2026-12-14,gbp,Schiphol,Kerstvakantie: vroeg naar Schiphol
50,2026-12-15,instagram,Seizoen,Een winterochtend rekent anders
51,2026-12-18,instagram,Schiphol,Als uw vlucht wél vertraagd is
52,2026-12-21,gbp,Seizoen,Ook op eerste en tweede kerstdag
53,2026-12-22,instagram,Seizoen,"Kerst bij de familie, zonder wie-rijdt-er-terug"
54,2026-12-23,instagram,Seizoen,Laatste dag om rustig te boeken
55,2026-12-25,gbp,Service,Fijne kerstdagen
56,2026-12-28,gbp,Moment,Oudjaarsavond: boek nu uw rit
57,2026-12-29,instagram,Moment,Op oudjaarsavond weet u vooraf wat het kost
58,2026-12-31,instagram,Merk,Tot volgend jaar
